万里千里,老师讲课很好,5.0
这么大只的叶子,我很喜欢老师的授课方式,5.0
望暮君,课件讲解得不错，课后作业得努力完成了,5.0
罗烨mooc,挺好的，讲的挺清楚,5.0
天者,又可以多学习一边我喜欢的课程了，还是跟着大名鼎鼎的陈越姥姥。。,5.0
张颖姝,超级棒，所获良多,5.0
听风_,老师讲的很透彻，没有基础也可以学,5.0
xiaonan8826,非常棒谢谢,5.0
计科16-01-张才玲-541607010145,线上学习课堂讲解，效率高很多,5.0
mooc1520417845868,很好很好很好,5.0
席浪,好好好哈哈哈,5.0
扬帆启航5,l老师关于最大子列和讲得非常好!,5.0
33116415-李晓宇,挺好的，有一定难度,5.0
mooc1498495967982,老师讲课特别好,5.0
球三不会画画,算法简直太神奇了。。。老师讲解的也很细致生动，相信只要肯花时间，定能受益匪浅,5.0
付炬,不愧是姥姥呀，自己加油！,5.0
王易楠,这课程超好的,5.0
mooc1520562185154,挺好的老师特别细致,5.0
辣鸡年糕,清晰易懂收获大,5.0
莫离流年,由于没有很好的计算机语言基础，还是有点难懂，但对于提高自身的知识水平还是很有帮助的。,5.0
原来可以改啊,感觉挺好的,5.0
道上,我是非计算机毕业的码农，现在在恶补计算机课程.浙大的翁恺和陈越老师的课程是我听过最好的课程了,5.0
一叶随风何处,很棒，期待更多优质资源,5.0
mooc1520558032610,不愧是国家精品！,5.0
晴好luckyli,教员教的很好！,5.0
你往何处去mooc2,老师讲的很清晰，谢谢,5.0
Wincy_羽,我觉得在课程中穿插着一些简单的问题思考更有助于我对于这门课程的理解,5.0
Vstay,讲解深入浅出，细致入微。觉得非常的不错！,5.0
mooc1520683783340,讲得很好~生动有趣,5.0
江安神藕,姥姥的课太好了,5.0
郭江伟,老师讲解的很好，课程安排也不错，辛苦老师了,5.0
萧鸣年华醉思卿,老师萌，课上不会教的全全面面但是会引导你自己思考，自己去学习，路转粉了,5.0
suiyechengxiao163com,老师讲课十分吸引人，喜欢~,5.0
mooc1506778417663,对零基础的我，难，但确有成效,5.0
z1583417232163com,老师讲课浅显易懂，对于我这种想要学习计算机课程的小白很有帮助。并且还有点小幽默！,5.0
mooc1520494207588,我觉得挺好的,5.0
chensunyg,深入浅出，系统的学习是扎实基础的最好方式！,5.0
蜜西mishiQ,陈老师讲课方式我十分喜欢，将抽象问题具体化，循循善诱，深入浅出。,5.0
岁月便是天涯,对算法与数据结构有了粗略的印象，以及一个好算应该是怎么样有了认识。,5.0
ChopinXBP,挺生动形象的,5.0
