jdq8576,很棒，老师讲的很仔细,5.0
淡定的猕猴桃,讲的很好，但是比较难,5.0
红萝卜nun,感觉很好11111111,5.0
Raccoonnn,好的好的好的,5.0
mooc83820282157527315,非常不错，学到很多,5.0
乐风派华,很好的课哦，好好学习专业课吧,5.0
Lysias,Verygood.MuchbetterthanIthoughtitwouldbe.,5.0
PhantasyPi,课程内容安排合理，老师讲课生动幽默，课程中插入的讨论和练习非常能够启发学生思考。强烈推荐！,5.0
蓁蓁38324,super棒！！推荐推荐！,5.0
mooc48550744029660194,有点难，要更努力才能跟上,5.0
mooc43454405171511530,喜欢姥姥的讲课方式，轻松、形象、易理解！一直很喜欢浙大，高考没考上但考研一定要去浙大看看！,5.0
武汉工程大学小明,非常好，很及时,5.0
mooc77224258032434117,老师好有趣,5.0
suiwotong,受益良多，正在学习中。,5.0
你拉我做咩嘢啊,除了开头第一节对萌新不太友好，后面的内容都容易理解,4.0
mooc1533189865935,能学到课堂上漏听的知识，以及一些学习需了解的知识！,5.0
sssssssr,我很快乐：）虽然其实真的学的很痛苦，但这是我的目标，那就会去做。老师讲的挺好的，简单易懂，讨论圈里还有很多巨佬,5.0
NJUPTB16111714王远帆,老师讲的很形象很不错,5.0
MIXALER,陈越姥姥的课还用说，那肯定是超级棒啊,5.0
ykt1484487187764,真的喜欢陈越老师,5.0
mooc84255488032976849,好看就完了,5.0
谢宇王,很生动又能动手,5.0
zut2018czb201819144410祁平杰,很有启发，从中学到了许多,5.0
王大爷ykt1524989177596,讲的很基础，不错,5.0
mooc1516771304108,期待开课，我一定好好学！,5.0
秋刀鱼的喵,期待开课！,5.0
3170302021,很好的课程,5.0
LittleWei,非常非常好~引导作用很nice！讲解清晰！,5.0
MobiusLeo,特别好详细老师上课流畅,5.0
18大数据一班薛澜,好HHHHHH,5.0
mooc43203473047496388,讲的挺好的，就是没有课本，光听不利于复习,5.0
沐子庭,逻辑清晰，循序渐进,5.0
Titaniummooc66,老师讲的条理清晰，很棒！,5.0
WHU2016301020090,姥姥很可爱！,5.0
wangyihao_Harry,讲得很细致，很棒！,5.0
mooc1477016424069,老师讲得非常好。,5.0
tjlxl1851201,太棒了啊啊啊啊,5.0
大头和尚,学习中，谢谢提供这样优质的课程！,5.0
mooc50708552808626874,讲的很好,5.0
angelove76126com,课程很有帮助,5.0
mooc1507209489782,好，非常好，十分好,5.0
广东工业大学_grassinlife,真的精品，不过难就是了;可能看完后还要花几个月练题目才能熟练。,5.0
knowledgemoocher,非常不错！nice,5.0
晦涩的语言,听的开心~,5.0
HIT1180300522王玮赟,讲课逻辑清晰，内容丰富,5.0
这么痛的回忆,很棒的课程,5.0
TringYNU,感谢姥姥带来这么好的课程。,5.0
ALionofcat,如果我数据结构咩挂科都是老师们的功劳谢谢你们！！！！,5.0
stay_hungry_stay_foolish,有些难度，提高自己！,5.0
LitBeetle,老师讲得非常生动，易懂，课程设置的作业也很有帮助~,5.0
能有几个人心是真的,既能学到基础知识，又接近实际地编程，挺好啊,5.0
由自己，有想有行。,非常好的课程，讲的十分的详细，对于小白也十分的友好不需要什么功底就可以听懂，但是还是要动手实践,5.0
天临近明ykt1430463513866,非常的好，特别是小白专场，讲得详细又清楚，懂得抓住重点，希望出一个系列的计算机课程。,5.0
CQUPT2017212397,喜欢这个既全面又能听懂的数据结构,5.0
mooc40002024839155505,好好好好好,5.0
杨坤mooc18,老师讲课非常细致，深入浅出，讲课节奏也非常好，非常感谢两位老师的课程讲解，目前还在学习中，强烈推荐,5.0
9Found,66666,5.0
ykt1491806708818,讲的真不错，谢谢mooc平台，如果系统学习完，老师能补充一些实际工作中应用的场景就更好了。,5.0
光电1819贺作舟,挺喜欢这两个老师的讲课模式！！,5.0
Jamie006,老师们讲的都很清楚，也很细致。对于没什么编程基础的我，听起来也不会吃力。何老师讲的比较细致，陈老师讲的比较精炼。不过说实话，何老师讲的都能听得懂。但是陈老师讲的有些概念比较口语化，说的比较泛，有些听不懂。,5.0
abudei,这个课程很不错呀,5.0
mooc1535090131636,清晰易懂特别好,5.0
equnee,讲的真好，谢谢老师们,5.0
曾丽松,老师讲的很好很用心感谢老师,5.0
周雅婷i,老师很优秀，讲解生动详细！,5.0
小丸子xwz,通过这门课学到很多非常感谢老师,5.0
mooc74338021583385430,爱上了，讲得太棒了,5.0
A1Jun,很棒的课程，两位老师讲的让我很感兴趣，一直坚持到学习完毕，顺利的完成了课程考试，在这里感谢下两位老师。,5.0
风青衣,很好的一门课，C实现的还没来得及细细研究，回头补上,5.0
HuThomas1118,陈姥姥讲的很好，进来晚了，很多题没有做，继续加油吧,5.0
mooc15735159402,肯定是最值得推荐的慕课了，老师讲课生动幽默，作业很丰富，学完收获很多。,5.0
mooc1494427224228,十分有价值的数据结构课程！,5.0
墨飏韶年,课程逻辑思维很强,5.0
ccneko,难度大，但老师讲得非常容易理解，循序渐进。我是在期中考前一周才开始学的，赶进度真的是榨干了我的身体。虽然拿到了证书，但还有很多东西没掌握，得再花多点时间重新学一下才行。,5.0
曾睿民,会给很多伪代码。数据结构理解很关键，但是能写出代码实现应用更关键。,5.0
雷锁心镰,感觉课很棒，但是对我来说讲的有点快,5.0
时过冬末,获益匪浅，老师讲的很生动形象，题目都富有挑战性，可以实践上课的内容,5.0
也这,课程难度较大，题目经典数量多，对数据结构的深入理解有很大的帮助！,5.0
C5班20171101054,棒！强烈推荐,5.0
xanderd,讲的很到位,5.0
银镯子mooc2,老师讲的很清楚，听了真的明白了好多,5.0
xzxzxznp,老师讲得很好收获很大,5.0
sonAspy,姥姥的课果然不一样～,5.0
DaPGe,现在做编程相关工作，之前不是学软件的，学了之后帮助很大。,5.0
lovecat,课程老师讲得不错，不愧是国家精品课程，在工作上也能用得上,5.0
AllThatYouNeed,挺好的，学到不少。,5.0
绮韵一梦,怪姥姥的课很好，期待下一次开课,5.0
t1131204984163com,感谢老师们的辛勤指导。,5.0
breaker,MOOC上最好的数据结构与算法课程。,5.0
ykt1500882609952,本人在coursera上了很多课，这是第一个在中国mooc上的。强烈推荐，完全不逊于外文的课程。,5.0
EvanCmooc1,这是自己第一门在mocc上获得的证书，希望今后能继续在慕课上学习下去！,5.0
代时飞,课程比较难，但是非常有收获（nopainnogain!)。学完本课程会对算法的学习打下坚实的基础,5.0
597511220qqcom,课程练习十分重要，pta里的习题很丰富,5.0
九千绮罗,讲得非常好,5.0
myhorizon,学习一门硬骨头的课需要有人带才容易坚持下去，非常感谢陈老师和何老师的讲解，学完本课程只是开始，要精通算法继续努力看书吧,5.0
mooc63636253343002691,收益很多，谢谢老师,5.0
mooc1536657981097,老师讲得有条理，而且有相关的练习题，对数据结构能学到很多,5.0
Shalashaska,吼啊！！！,5.0
残忍的angel,强烈推荐。,5.0
breatheykt1435657062701,好！真好！真的好！,5.0
学习的样子,很好学到了很多！,5.0
Crist丶,lalalalala,5.0
mooc39966487757048897,讲得很好，值得学习,5.0
