alexgirl,超级好的数据结构课程！,5.0
mz151475365,老师讲得很好，建议学习拉长一个月，因为数据结构这门课很难。,5.0
178凯,课程内容贴合教材，形式也很方便同学们随机学习。望今后单元测试的截止日期可以与课程进度相符合，避免出现后面单元比前面早截止的情况，以免同学们错过时间。,5.0
小西555,好！真的好，真的真的哈皮！,5.0
择清,好的很啊啊,5.0
klkklk2,........,3.0
Aserbear,课程浅显易懂，循序见进，很不错的一门课程,5.0
席浩然,真的很棒棒,5.0
NJUPTB18031630曹志杰,真的是太好了，建议加个字幕,5.0
从心出发mooc12,很好的课程，讲解通俗易懂，容易理解，建议先看完C语言再看这个，和书籍一起看更好。,5.0
mooc40275447945052739,已经完成期末考试，是老师们很用心准备的课程，是很好的课程：老师的声音好听，配合ＰＰＴ简洁的讲解了重点；教材很容易理解，不会像看严蔚敏的经典教材那么头晕犯困；课后测验和编程题的难度和分量也合适；考试也主要是考基本概念理解、画图演示算法过程。适合于普通大学生、文科大学生、自学者。不过拿优秀证书很难，要90分，我估计在86分左右。（高水平的同学，建议浙江大学的数据结构，我只拿了67分的合格证书）。如果非要指出什么可改进之处，那就是希望能够用文本格式提供程序，便于复制到Dev-C之类的开发环境里面去验证。最后，我衷心感谢老师们的奉献。,5.0
ykt1504840354374,awesome！,5.0
koshikin,讲的还是比较清楚的吧,5.0
陈墨_Akira,老师很热心的帮助我！一定要好好学呀！,5.0
moo朴,老师您好，今年考研打算报考南邮，请问可以和你交个朋友？,5.0
WHY_1219043810,真的很受用,5.0
mooc1522922201943,666666,5.0
mooc1488801472976张浩,123456,5.0
LemonTmooc1522895537935,真是太棒了！！！【微笑】,5.0
PseudoA,课程很好，很喜欢,5.0
刘云晗,哇，超出预期了,5.0
QG201702505248刘超,666666,5.0
宋政haha,非常感谢老师的教学，让我又懂得了许多,4.0
悬铃木ykt1533624449022,老师讲的特别清楚,5.0
镀铜豌豆,棒！强烈推荐,5.0
liyishan_15720390747,很有帮助，谢谢老师,5.0
mooc46011625453402414,讲解清晰，知识点全面，很喜欢。,5.0
mooc78044154749442499,关于算法的细节讲得很好,5.0
易国峰,老师非常好,5.0
name丁清林,棒！强烈推荐,5.0
mooc41992198761716169,老师讲的有条有理，思路清晰。,5.0
月光凉i,66666,5.0
懒得起名mooc31,很好非常喜欢,5.0
蔚蓝枫婷,收获了很多知识,5.0
2017210639黄月婷,老师讲的很详细很好,4.0
mooc55975595563242308,老师讲的很好,5.0
郭方一,很好，很细致,5.0
HIT1150310709王旭,课程设置逻辑清晰，但是感觉每章的测试有的题目答案是错的,4.0
201715903-王帅,有用啊对不学习的人来说简直就是..........救命稻草,5.0
mooc63477815857646267,知识点讲的不错，基本都涉及到了，但个人认为还可以把知识点讲的更生动些，多举一些例子。然后就是希望可以简单的讲一些习题。这门网课对我的帮助真的很大，给出4星的原因是我只能1.5倍速很快地过一遍，很多地方没有细细品味到。,4.0
夜Boymooc3,老师讲解的十分细致，但代码太少只理论很难理解,5.0
向音宇,受益良多。,5.0
IT屌丝达人,考研党，来看数据结构啦。。。,5.0
mooc1535268891915,救星！！！！！啊请求开课啊！！！！！！！,5.0
射狮射虎射天狼1991,完全念PPT还是严蔚敏的书，不适合没有基础的学，填空题巨坑，传说中连C语言OJ都巨坑爹的团队我佛了,1.0
向日葵和皮卡丘,老师赶紧开课啊迫不及待,3.0
mooc73506554890376920,快开课呀！,5.0
cold-flag,激动！！！考研党请求尽快开课呀！！！！！N人血书1/N,5.0
Angel琴mooc,希望暑假可以开课，查缺补漏了,5.0
美好的回忆ykt1541319043536,现在不能看吗？我6月考试了,4.0
武汉理工计算机类m1801,客观评价，视频像素太低，代码可读性有点弱，老师讲课有点也不用拎着教鞭对着镜子指想要指的位置，视频拖的有点冗长，另外习题和测试中有很多表述不够清晰，答案有点出入的地方。希望有高清重置连贯剪辑优化版的视频，有更加严谨的练习题，和更加美观的ppt，也希望老师讲课放轻松，大可像学校讲课那样，想象您面前人山人海的都是武汉理工莘莘学子。另外严的教材太过生涩，到处是伪代码，给人的感觉就像耍嘴皮子，纸上谈兵，但是讲课时应该通过简化和更加具体的代码，把内容更加清晰易懂地呈现出来。综上所述，3星。,3.0
回首摸,老师，开课呀，现在对知识的渴望地球都装不下了,5.0
mooc31638526594029807,老师救救孩子！！！,5.0
啵啾酱,救救孩子吧快开课,5.0
Oodi,老师，救命啊，啥时候开课？,5.0
想飞上天和太阳肩并肩mooc1,请问什么时候开课啊……,7.0
hwhhsu,请求组织赶快开课，谢谢啦,5.0
mooc85112736822551215,所以具体什么时候开课别是要等到下学期,5.0
mooc500026864175008,讲课方式清晰易懂，不枯燥，对学生很有帮助,5.0
mooc52951462129640977,老师讲的特别详细特别好,5.0
晓冬mooc4,老师讲课感觉很有耐心，声音很好听，讲的内容很详细，节奏很好。,5.0
mooc53526557754043639,。。。。。,5.0
Noonemooc140,真的很棒的一门课，只有c基础的我也可以听懂；MOOC里数据结构讲的和考研内容最贴切的一门课，对照参考书学习觉得很有帮助；希望老师快点更新；,5.0
mooc584148440489511,精炼清晰易懂,5.0
狐狸的夏夜,进一步充实对程序的了解,5.0
小胖子ykt1531818792563,你好你您咯咯咯咯哦里,5.0
美美美哒哒mooc67107257632774341,老师！快点开课呀呀呀呀呀，不过现在在放假，不会开学才开吧？,5.0
h13352735859163com,老师快点啊,5.0
我爸开心就好,求快点开课啊,5.0
戏骨清风mooc2,快点开课，救救孩子们吧,5.0
じ、夙愿らykt1535807034292,啥时候开课呀呀呀呀,5.0
mooc1495950340418,天啊啥时候开课啊！好想看,5.0
Luffe,请老师开课~今年考研~~~,5.0
STRIVEORIANA,还。还没有开课吖,5.0
mooc54429687484041247,求快点开课,5.0
飞ykt48288631105049111,啥时候开课啦，快开课啦,5.0
Monicorn,希望老师早日开课，救救孩子,5.0
追梦小子yjn,老师快点救救要考研的孩子们吧^O^,5.0
刘金祥YK08090517117,开课吧，救救孩子,5.0
青青子衿ykt1512566483644,啥时候开课呀，考研要用，救急呀，赶紧开课呀,5.0
伪文艺青年mooc2,等待开课中。数据结构要考了。,5.0
单车mooc57,老师救救孩子！！！,5.0
chase_Jae,通俗易懂，引人入胜！,5.0
Soulmooc738,陈越姥姥的课讲得通俗易懂，我自己看了一遍Sahin的书感觉掌握的不是很好，又来听姥姥的课,5.0
ykt1504070214515,好，就是很难，不好理解，得多敲代码多想多背,5.0
isasuke,期待下一次开课,5.0
蛇象,很好的课，陈老师真的很幽默！何老师讲得很详细！,5.0
狄二娃,讲得很好，重回大学课堂。,5.0
mooc72819175477508391,讲课生动活泼通俗易懂,5.0
mooc39310708382665654,超喜欢姥姥，表白！！！！,5.0
wpc1403s2163com,习题超用心啊，提示了哪些是“一定要做”哪些是有难度的，能根据自己的水平尽力而为，（不会因为题太难了打击积极性）,5.0
苏夜月ss,老师真的讲得特别特别好，很详细，通俗易懂，浅入深出，受益匪浅，感谢！,5.0
class5editdept163com,数据结构入门课，从暑假开始关注，赶在学校开的课之前完成了。收获非常大，作业题也很有挑战，老师的讲解相当清楚而且不失趣味。感谢两位教授推出这样精彩的课程。,5.0
