weixin_kodak_0,,10分
海般深沉,,10分
慕粉3913390,,10分
i文Vin,,10分
夏木清水,相当棒的课程，简单生动，老师还会故意出错让大家找茬，真有趣味！,10分
William_Wayne,,10分
qq_leilei_3,很棒，清晰易懂,10分
陵辉,,8分
辞遇,队列，栈，线性表，图。我对数据结构可谓是憧憬已久了，但是一直都没有付出实际的行动！所以就很惭愧，这学期是一个新的开始，已经开始学了，但是还远远不够，继续！！go on !!!!! 共勉！,10分
路过的人1094,,10分
wx0319,受益匪浅,10分
qq_莫非,,4分
丿筱浩,老師講的很棒。,10分
qq_乔巴_14064888,非常好的课程，谢谢James老师,10分
Lawrence,虽然有一些小小的错误，但并不影响课程的效果，还是很好的,10分
稚气_未脱,,10分
水清草绿花芬芳,,10分
鑫_3485970,,10分
weibo_陈_兆群_0,,10分
wcw123,很好。,10分
qq_Viola_6,,10分
碰碰碰气球,条理非常清晰，老师教的思想很重要，很多例子，很具体,10分
John_Skeet,,10分
Lu___yiwen,,10分
慕粉3829398,,10分
香飘飘丶,,10分
Jannina,条理非常清晰，不必在意语言，老师教的思想很重要,10分
slcheng,,10分
InnoFang,,10分
小糊涂_大明白,很棒！,10分
lykss,,10分
看看我的网名是不是整个世界最长的网名,,10分
strawIce,挺好的,10分
010112,f,10分
Jathy,,10分
rubyc,数据结构果然难学，但老师教的很好,10分
Ephraim,简直比我们的数据结构好太多了
虽然只有一种实现队列的方式，不过讲得很透彻，我们的数据结构是没有定义len的，然后判空判满都挺不容易的。学了这门课，让我觉得了应该应变，才能创造。,10分
紫蝶爵,整体还不错的样子,8分
Clayhaw,要是最后一节课用模版也做一下就好了,10分
里昂不吃藕,,10分
JustChin_340823,,10分
qq_风光好_04086420,,10分
朝闻道夕,讲的蛮好的,10分
唉____,,10分
哥们惯过谁,作为复习数据结构来说很够了，注重实用性，要是从头学习的话还有其他一些细节吧,10分
西兰花伟大炮,我要啃下来,10分
zccccccc,老师讲的很好啦,10分
qq_Norp_03448365,我觉得讲的很详细，很不错~~比上课效果好,10分
最强Robbie,作为复习数据结构来说很够了，注重实用性，要是从头学习的话还有其他一些细节吧,10分
m慕光,感谢老师！,10分
_夕晨踏雪,满分！满分!,10分
兮蓅,讲得很清楚，谢谢老师~,8分
P妞酱酱,,10分
_Nullptr,,10分
qq_Nevermind_34097436,,10分
何方神圣,,10分
安_全_第一,教诲如春风,师恩似海深,桃李满天下,春晖遍四方！,10分
qq_朦胧懵懂_03897096,非常清晰，感谢老师,10分
心有猛虎_细嗅蔷薇,教诲如春风,师恩似海深,桃李满天下,春晖遍四方！,10分
Van0512,,10分
vortesnail,非常好，,10分
Crafon,,10分
Lavi_La,跟着学完了，很实用的知识，感谢老师，支持老师,10分
夜行水寒,讲解的很清晰，谢谢老师，谢谢慕课！！！,10分
dky,,10分
灰色的心情123,讲的很好,10分
去看天荒地老,,10分
hoio,,10分
zhaojw,老师讲的真的很棒，很适合入门,10分
汉江怪人,,10分
Kian_,讲的很清晰，赞一个,10分
Jang0,讲得太好了,10分
慕粉3841096,讲得太好了，看书和听课结合起来，事半功倍啊！！老师应该贴个头像，让我们膜拜下！！！强烈期待还有更深入的内容！！！！！！！！！,10分
凌枫3843334,很好，思路很清晰,10分
果爱上了然,很不错，就是希望慕兄多透露一点其他的注意细节,10分
龙唐海,老师讲的很好，感谢慕课网，期待慕课越办越好。,10分
想要好好学习但是又好懒的菇凉,,10分
眼前的黑不是黑zz,有点晕,应该是自己基础太差,还需努力学习啊.,10分
温裕,老师讲得真好,10分
慕粉3699273,课程不错，自己还需努力啊,10分
qq_长岛没有雪_0,很好，对代码的解释和完善都很清晰,10分
秋日传奇ww,,10分
qq_D调E点_0,课程很不错,10分
ziom,谢谢老师,10分
