yan俊,,10分
Its_forever,,10分
virgosoy,算法不错，做梦都没想到可以这样做，不过还是有点不是非常智能，好像只要在其他地方下不和它在下一起就稳赢了。,10分
星南樱射,讲的很好，挺细致的，如果讨论下更多赢的情况就更好了~,10分
ZeroDai,很不错的课程,10分
唐挽斐,很棒的课程,10分
Mirancode,老师逻辑清晰，这个算法很好理解,10分
hischoolboy,,8分
一只大卡车,厉害，可惜不会写ui,10分
Botting,算法是难题   照样打了一遍  算法还得再去研究研究,8分
NodeOS,这个算法很有启发性！,10分
Jamie0327,算法知识确实重要，老师效率很高啊,10分
ICHAYA,讲真，channingbreeze老师讲的非常仔细，函数/变量都非常清楚。用非常简单易懂的方法，实现了比较有效的五子棋防攻。对于一个刚学完HTML/CSS,Js进阶都只学了一半的人，能在此课程的帮助下理解computerAI计算最佳落子点并完整正确的写出代码，真是一件非常鼓动人心的事情呢！！并且老师还会帮忙解决问题，真是热心！！！非常适合初学者！！,10分
lykss,,10分
旗鼓相当的菜鸟,照着打完了一遍，非常不错,10分
老猿,,10分
sonicXXX,挺有意思的，刚照着课程打完代码，感觉AI防御很不错，但是进攻性不太强。
for循环嵌套的有点多。,10分
小鑫狂想曲,,10分
有一种成熟叫认怂,讲真，我可是学过数据结构的人，然而平时一直都用不上，等现在需要的时候却没能耐用了。
感觉这东西还是师傅领进门，修行靠个人，自己不钻研，老师讲再多也是听天书。
老师讲得很不错，就是俺自己太渣没能看懂。加油加油,8分
qq_嚼不烂的口香糖_0,挺好哒,10分
窗景,,10分
小_凡,不错，就是觉得算法有点问题,10分
D__C,算法+数据结构=程序,10分
撇捺二一,边看边敲，很不错。,10分
悠然沧海,,10分
死瘦子,跟着做了一遍，感觉挺不错~,10分
low_0001,老师讲课有点快，不过总体来说比较清晰，推荐有一定js功底的人看，值得反复观察研究。,10分
不惧亢龙,很好的算法课，期待四国军棋JS程序，老师666666,10分
问天012,,10分
YibuMe,算法有点迷糊,10分
ArrayZoneYour,虽然基于这个算法的AI在进攻方面缺陷很大，在防守时略有不足，但作为一门算法入门和js结合的课来说还是很赞很赞的-.-,10分
abc_111,,10分
sunshinesunshine,,10分
咖啡糖味道,,10分
Arey_jy,有点难理解,10分
从工藤新一到江户川柯南,赞终于结束了，还得好好消化下，代码堆在一起感觉看的好晕,8分
简单hen,超级棒！自己敲了一遍,10分
笨鸟必须得先飞,很赞，已经看完，准备自己去试验一下~~,10分
