空谷幽兰kjl,讲解清晰清楚，非常好,5.0
mooc12459180988404177,深入浅出.,5.0
材科1703雷鸣,老师讲的很棒！我应该没学过的小白都能听懂,5.0
muzi8895,讲得很好，最好能把练习代码打包一下，方便练习,5.0
ykt1471530475143,aaawesomeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,5.0
mooc1531123703533,老师讲的很好，就是PPT有时候有显示问题,5.0
XD-18180100134-杨天宇,老师平翘舌不分，听起来贼不舒服,3.0
mooc1536738125187,课程讲的还可以,4.0
fanc232,首先我声明，我对北京大学的佩服和敬仰永远不变！其次，这个课程总有个人在ppt上面涂鸦，让人非常崩溃。老师讲的内容是跟着老师的指的位置走的，但有个人在ppt上专门跟着老师讲的进度不同的地方瞎画，非常干扰听讲！如果我这辈子只有一次资格吐槽北京大学的话，那么我想说这个课件里胡乱涂鸦的家伙简直令人恼怒。,4.0
京沪,好好学，成功考上研究生❤,5.0
appwhl,Top2大学的教学质量水平无须置喙。只谈谈自己有感触的两点。一)每节课后的开放性思考题。很有启发性。二)给力的助教团队。1.为了让更多基础薄弱的人更快入门，在开始推出了python编程测试(python应该是公认的非计算机专业的最佳入门语言)，并给出代码模板，以帮助大家尽快入门。2.每章作业，大部分习题都给出详细的解析，这是我在MOOC平台上遇到的唯一一个。3.规律充足的答疑时间。每周一，三，五，日晚7-9点都有助教在线答疑。说真的，我现在很后悔自己当初没能多提几个好问题，以后想碰到这样的助教团队，估计是很难了。强烈安利。,5.0
cuizimu1996163com,张铭老师讲课实在是太菜了。举个例子《外排序》：第一页，“外排序是对磁盘（文件）进行排序”。什么叫对文件排序？是把文件按大小排序？还是按文件名排序？事实上都错了，她的意思是某一个文件的内容进行排序。可文件不就是一个很长的二进制串么？对一个二进制串咋排序？把1都放左边把0都放右边？都错了，她的意思是对一个记录型文件里面记录排序。“形成一个尽可能长的初始顺串”。尽可能长是什么意思？文件是多长就是多长，4KB就是4KB，还能尽可能长？第二页，用堆处理。“这就形成了一个初始的堆”。这啥玩意，这怎么就形成一个堆了？堆里的初始元素哪来的？随机生成的？综上所述，这个视频完全就是给学过这门课的人复习用，没学过的人各种听不懂，根本没讲明白。,1.0
LittleWei,额。。说实话咧，感觉讲得不是很好，前面有点重复啰嗦，而且没把握好进度，感觉不能循序渐进，不是很清晰。但是老师们都很用心在讲课看得出来，希望能做得更好一些吧！,3.0
马德兰公爵,不好自己看书吧,2.0
0174306,不好，体验很差，老师没有逻辑,1.0
思久方为远见,不适合预习用，语言太抽象，很多地方仅仅是念课件。,2.0
张铭,课程内容前沿实用！助教团队超级棒！论坛讨论活跃,5.0
TBNSmartyee,感觉很混乱,2.0
萝卜ykt1507092835724,讲的真的烂，一直会停，有点拖拉。,2.0
快乐的公民,总体来说，难度适中，可以学习到有许许多多的边边角角的知识，oj的内容更是非常的实在，有模板，可以节省许多不必要的时间，强烈推荐，非常适合初级阶段的学者,5.0
貌似狠簡單mooc,讲解不够清楚,2.0
化学生学cs,递归讲得莫名其妙，前后逻辑不清晰，语言组织令人失望。。。。。,2.0
mooc1469883492426,感觉讲得好乱。。。,2.0
1700012895,我输入了七个字,5.0
1700012710,课程很好，老师讲得都很精彩,5.0
14846,为陈老师疯狂打call！！！,5.0
mooc68587144046193473,！！！！！很棒,5.0
